Northside Quarter Lett: B N: 18 & 22 belonging to Thomas, Peter: & Math: Armstrong;;;;;;;;;;
Valelucinaicant;;Births;;;Deaths;;New negron bought;;Deaths of the new;
;;;;;;;this year.;;Negroes bought this year;
males;Females;males;Females;;males;Females;Males;Females;Males;Females
1 Nicolas;1 Sophia;;1 Lucretta;;;1 Nany;1 Abraham;1 Antonetta;Frederich;1 Katy
men;✓;;Molly;;;✓;2 Otto;2 Christina;Knud;2 Rachal
✓;;;;;;;3 Tordenskold;3 Judy;;3. Cato
;;;;;;;4 Bernstorss;4 Nancy;;4. Anasted
;;;;;;;7 Jörgen.;5 Pamilla;;
;;;;;;;6 Holberg;6 judinde;;
;;;;;;;✓;7 jeanny;;
;;;;;;;;8 Nicoline;;
;;;;;;;;✓;;
Total number of Negroes;;;;Recapitulation;;;;;;
;;;;Capable Men 21 ✓;;;;;;
;;;;Capable Women 34.;;;;;;
;;;;Half grown boys 32;;;;;;
;;;;half grown girls - 4.;;;;;;
;;;;child wt. indorsoy 25;;;;;;
;;;;Tradesmen — 3 ✓;;;;;;
;;;;house N girl 3.;;;;;;
;;;;Valetainatiany 2.;;;;;;
;;;;Births 2;;;;;;
males;Females;Total;;Negroes bought this year 14;;;;;;
47;62;111;;Total 111;;;;;;
;;;;I do hereby Certify the above to be just;;;;;;
;;;;A. Armstrong;;;;;;
;;;;St. Croix Decembr 14th Anno 1799;;;;;;
